country,year,G_stock,P_stock,work_popn,GDP,popn
Bangladesh,1970,17.826,33.28,34051413,91.131,65047770
Bangladesh,1971,18.57,34.603,34616781,86.137,66424744
Bangladesh,1972,18.997,35.138,35141530,74.101,67597470
Bangladesh,1973,18.895,34.393,35681139,76.565,68691185
Bangladesh,1974,19.188,34.611,36286641,83.909,69884420
Bangladesh,1975,20.657,37.64,36995593,80.479,71305923
Bangladesh,1976,21.642,39.437,37799405,85.035,72999136
Bangladesh,1977,22.88,41.795,38776170,87.308,74925896
Bangladesh,1978,24.561,45.156,39895616,93.484,77033846
Bangladesh,1979,26.788,49.741,41130992,97.973,79236776
Bangladesh,1980,29.846,54.283,42457802,98.775,81470860
Bangladesh,1981,34.025,60.088,43660593,102.128,83721268
Bangladesh,1982,36.729,67.523,45009578,103.384,86007331
Bangladesh,1983,38.878,73.175,46470082,108.443,88338242
Bangladesh,1984,41.019,78.634,47996086,114.327,90732362
Bangladesh,1985,43.237,84.494,49567864,117.77,93199865
Bangladesh,1986,45.752,90.385,51111472,122.881,95742431
Bangladesh,1987,50.57,100.15,52707974,128.02,98343809
Bangladesh,1988,54.521,105.789,54362134,131.721,100975321
Bangladesh,1989,58.553,109.824,56096603,135.04,103599232
Bangladesh,1990,63.111,113.492,57919630,143.989,106188642
Bangladesh,1991,67.487,117.23,59651506,148.885,108727432
Bangladesh,1992,71.22,120.216,61459726,155.178,111221938
Bangladesh,1993,75.073,124.15,63342773,162.277,113695139
Bangladesh,1994,78.998,129.193,65294676,168.906,116182267
Bangladesh,1995,83.278,135.109,67312815,177.225,118706871
Bangladesh,1996,87.569,142.27,69306573,185.416,121269645
Bangladesh,1997,92.314,150.658,71361896,195.406,123854640
Bangladesh,1998,97.311,160.734,73466938,205.62,126447965
Bangladesh,1999,102.604,172.897,75609920,215.632,129029691
Bangladesh,2000,108.994,185.913,77776048,228.451,131581243
Bangladesh,2001,116.033,199.51,79809023,240.499,134107160
Bangladesh,2002,122.544,214.38,81877646,251.118,136600667
Bangladesh,2003,128.703,231.298,83945089,264.317,139019001
Bangladesh,2004,135.067,249.686,85967657,280.891,141307489
Bangladesh,2005,141.893,269.989,87921883,297.619,143431101
Bangladesh,2006,149.293,293.042,89601632,317.35,145368004
Bangladesh,2007,156.58,318.491,91228713,339.75,147139191
Bangladesh,2008,185.854,324.173,92834834,360.182,148805814
Bangladesh,2009,213.547,335.88,94463843,378.353,150454708
Bangladesh,2010,219.383,371.92,96152797,399.434,152149102
Bangladesh,2011,227.233,408.989,97987374,425.255,153911916
Bangladesh,2012,237.398,447.918,99843589,452.988,155727053
Bangladesh,2013,251.23,488.709,101732877,480.229,157571292
Bangladesh,2014,266.925,528.637,103669903,509.336,159405279
Bangladesh,2015,283.856,569.543,105651107,541.942,161200886
India,1970,483.45,672.061,309078851,661.724,553578513
India,1971,498.04,696.483,316467280,673.742,566224812
India,1972,517,719.708,324319930,669.584,579411513
India,1973,541.484,739.902,332613235,689.365,593058926
India,1974,560.477,762.38,341394411,697.584,607050255
India,1975,574.928,784.285,350665098,761.692,621301720
India,1976,594.344,807.853,359141089,775.225,635771734
India,1977,629.574,825.828,368230950,831.01,650485030
India,1978,668.496,848.222,377834885,877.021,665502284
India,1979,706.034,870.186,387806840,832.831,680915804
India,1980,745.65,883.631,398059662,887.937,696783517
India,1981,788.457,904.308,407688286,945.954,713118032
India,1982,853.442,909.049,417622246,981.723,729868013
India,1983,927.323,908.225,427894339,1054.631,746949067
India,1984,991.32,915.968,438613766,1093.422,764245202
India,1985,1059.514,922.235,449822671,1153.215,781666671
India,1986,1132.665,931.394,460022744,1209.372,799181436
India,1987,1221.326,936.85,471005925,1267.05,816792741
India,1988,1291.416,976.569,482595747,1392.785,834489322
India,1989,1365.523,1021.015,494556570,1484.325,852270034
India,1990,1434.032,1083.635,506787379,1568.351,870133480
India,1991,1497.207,1167.575,518486703,1574.99,888054875
India,1992,1570.639,1222.956,530519741,1660.361,906021106
India,1993,1634.539,1297.834,542975424,1742.631,924057817
India,1994,1695.648,1381.816,556006717,1872.695,942204249
India,1995,1774.59,1472.19,569664412,2015.877,960482795
India,1996,1857.347,1608.456,582956716,2164.944,978893217
India,1997,1916.211,1760.595,596826819,2261.894,997405318
India,1998,1968.197,1913.679,611202313,2397.322,1015974042
India,1999,2028.833,2077.479,625949542,2568.218,1034539214
India,2000,2101.829,2270.511,640951008,2671.728,1053050912
India,2001,2173.905,2444.981,655096984,2811.109,1071477855
India,2002,2249.668,2631.243,669605816,2916.997,1089807112
India,2003,2329.533,2827.47,684389867,3161.176,1108027848
India,2004,2419.449,3074.717,699358935,3423.437,1126135777
India,2005,2518.598,3414.25,714450930,3741.299,1144118674
India,2006,2642.642,3810.279,728846310,4087.892,1161977719
India,2007,2805.278,4248.484,743374311,4488.561,1179681239
